"Vaga","Nome da Empresa","Descrição da Vaga"
"Accountant","Lacoste","The Accountant will report to the Accounting Manager, working as part of a team to oversee all accounting functions: retail, wholesale, e-commerce and corporate operations. This person will help to reconcile budgets, revenue and expenses on a regular basis, and be responsible for the month-end closing process, preparation of financial statements, general ledger account reconciliations, P&L, and year-end audit.

Our ideal candidate will be self-sufficient and possess the ability to make sound decisions to benefit the company. This is an environment with shifting priorities, so the ability to multi-task and be flexible and adaptable to differing situations is required

Essential Job Responsibilities:
Accounting:
Sales and Gross Profit Reports:
the POS numbers and reports, and review for accuracy
to books
actuals to budget
reports to management as needed
assess all revenues, commissions, and operating expenses to ensure they are recorded appropriately
and respond to incoming chargebacks
and audit petty cash card accounts
the completion end of month close procedures
reconciliation of all balance sheet accounts, including all bank accounts
fixed assets system and execute monthly posting of depreciation expense
P&L on a monthly basis and accrue expenses when necessary
deferred rent and percentage rent schedules
facilities expenses to ensure landlord charges are consistent with lease terms

Tax & Audit:
Maintain the property tax database
File and renew business annual returns
Help management with preparation of income tax returns and corporate reporting requirements
Fulfill external and internal auditor requests during different times of the year (i.e. sales tax audits, property tax audits, certified sales statements to landlords, financial audits)

General:
Participate on various projects assigned by upper management
Perform all other duties as assigned and required

Requirements/Qualifications:
BS in Accounting required; MBA a plus.
Three plus years’ experience in similar position; retail/wholesale environment is required; a medium or large sized multinational company is preferred
Strong knowledge of US GAAP, IFRS, internal controls and financial reporting required
Experience with SAP preferred
Advanced Excel skills, ability to work with pivot tables, and lookups
Must be able to demonstrate ability to analyze complex financial and accounting information, and ensure that all data is accurate and complete before submission
Must be able to develop a system that will enable his or herself to retrieve data and information quickly
Display comfort working in an environment without close supervision; be a self-starter who actively strives to meet goals, resolve problems and achieve objectives at all times
Must be able to maintain confidentiality with sensitive company information
Show less"
"Accountant","Milk Bar","JOB OVERVIEW
The provides support for daily accounting processes and financial reporting. They achieve all tasks and processes with a strong attention to detail, an organized approach and long-term sustainable vision.

JOB RESPONSIBILITIES
Play a key role in the month end close process and prepare necessary journal entries to ensure appropriate expense recognition as well as prepare various estimates including freight, marketing and general accruals.
Analyze and review periodic journal entries to be recorded in the general ledger including those related to lease activity, fixed assets, notes payable and prepaids.
Analyze monthly expenses for appropriate business channel allocation.
Monitor accounts payable records to ensure appropriate aging, credits and payments are applied and miscellaneous variances are resolved.
Review Vendor statement reconciliations prepared by a third party team. Timely communicate and resolve any discrepancies with Vendors, as necessary.
Monitor the receiving and three-way match process within NetSuite and MineralTree.
Prepare the weekly check run and related bank transactions.
Assist with the onboarding of new vendors and enforcing Company policies.
Reconcile the Daily Sales reports for each bakery location.
Manage expense reporting for corporate card users. Reconcile monthly statements and ensure compliance with Company policies.
Manage the payroll financial reporting process including weekly reimbursements. Reconcile entry to payroll registers and to weekly bank activity.
Prepare and issue 1099s at year end.
Collaborate with and assist external auditors, including the preparation of financial footnote disclosure schedules and audit support schedules.
Work collaboratively and influentially on projects with cross-functional business partners.
Partake in ad hoc team projects and analysis, including new system implementations.
Fully understand and exhibit the Milk Bar ethos, embody our core values, inspire celebration, and create real magic. Serve as a brand ambassador, both internally and externally.
Please note that your duties are subject to change at the Company’s discretion.

SKILLS & REQUIREMENTS
Bachelor's Degree in Accounting required
CPA, or progress toward CPA, required
1-3 years of related experience; public accounting experience a plus
Understanding of accounting principles and GAAP
Solid foundation working with Excel and ability to adapt to new software
Strong organizational skills and attention to detail
Experience with NetSuite, MineralTree, Concur, a plus
Show less"
"Accountant","Turkish Airlines","Accountant

Job Description:

Are you a detail-oriented individual with a passion for numbers? We are seeking a talented Accountant to join our vibrant team. In this role, you'll play a vital part in ensuring that cost and expense documents are accurately recorded. Your meticulous attention to detail will be essential in reflecting revenue and expenses in our accounting records, adhering to applicable legislation, company regulations, circular letters, approvals, and generally accepted accounting principles. You'll also be responsible for communicating activities required by local laws to our certified public accountant and diligently monitoring compliance.

Responsibilities:

Timely monitor and verify revenues from our sales management, ensuring compliance with relevant laws, legislation, and regulations. Your expertise in recording these revenues accurately in our accounting records will be invaluable.
Respond to requests by providing comprehensive office income, cost, financing, and financial statistical information to the Sales Manager or your immediate superior.
Take charge of timely bank deposits for sales proceeds (Office+BSP+Cargo+CASS+GSA) and diligently record them.
Efficiently process payments for approved expenditures, strictly following written approvals. Your keen eye for detail will ensure proper accounting records and the best interests of the company. Additionally, handle disbursements of allowances as necessary.
Maintain the annual cost budget sheet and keep a close watch on costs, making sure they align with the budget limits. Take proactive steps to prevent exceeding budget portions and promptly inform your superior.
Skillfully manage administrative affairs and diligently follow up on related issues.

Desired Skills & Experience:

Bachelor's degree or at least high school graduation.
Preferably, at least one year of experience in finance, accounting, monthly close, and financial reporting.
Proficient knowledge of generally accepted accounting principles, procedures, and their practical application.
Familiarity and competency with MS Office products.
Excellent command of English, professional working proficiency in Turkish Language a plus.
Valid work permit or citizenship (the company does not provide or assist with work permits).
Demonstrated sense of responsibility and the ability to make accurate and effective decisions. Highly organized, detail-oriented, and skilled in analyzing various data.
Experience with SAP system preferred.
A collaborative team player who can also work independently when required, thriving in a fast-paced environment.
Proactive problem-solving skills.

We strive to bring the far close by making the world move through our wings. We are working with all our strength to offer our guests a unique experience while connecting 340 destinations around the world. We would like to see you among us in our success story to which each member of our family contributes. Now it is time to grow our family with you to achieve greater goals.
Show less"
"Accountant","Lockheed Martin","This Lockheed Martin EO Global Financial Services (LM GFS) position supports the Global Accounting Cost Monitoring and Compliance (CMAC) organization in Lakeland, Florida. The Global Accounting Cost Monitoring and Compliance team is responsible for international subsidiary and expatriate cost accounting, bank account reconciliations, and accounting system controls.

Responsibilities for this position include, but are not limited to the following:

General ledger accounting including cash journal entries, balancing, and reconciliations
Monitoring of international general ledger costs and accounting controls
General Ledger financial accounting, table validation/maintenance, and reconciliations
Timekeeping and labor cost accounting for expatriated employees

In this role, the team member is expected to successfully handle multiple and simultaneous tasks, assignments, priorities and deadlines. The position requires support services with business partners and customers. Effective communication, strong customer service, organization/prioritization, and analytical skills are required. The role also requires demonstrated competency of generally accepted accounting principles.
Show less"
"Accountant","RESPEC","Company Description

RESPEC is a nationally recognized engineering consulting company seeking an Assistant Controller in our Rapid City, SD office.

Job Description

This position will assist in planning and directing the company's accounting operations, including the maintenance of accounting principles, practices, and procedures.

Responsibilities:

Assist in various operations of the Accounting Department, which included Federal and State Audit prep, accounts receivable, and bank reconciliations
Prepare and analyze benchmarks that will be used to measure the company’s performance
Work with external auditors for the annual audit
Ensures compliance with local, state, and federal government requirements
Prepare billings and assist with revenue recognition and reconciliation
Understands GAAP.

Qualifications

Bachelor’s degree in accounting or business administration preferred

Preferred Qualifications: In addition to the required qualifications, the following education and skill set are preferred:

Excellent written and verbal communication skills
Organizational and time management skills
Proficient in accounting and tax preparation software
Proficient in Microsoft Office Suite or similar software.

Additional Information

This is a regular full-time position with benefits. The employee will work 40 hours/week (Monday–Friday) from 8:00 am – 5:00 pm.

Compensation: Compensation range for this role is $60,000 - $80,000 and will depend on several factors, including candidate’s qualifications, skills, competencies, and experience. We offer a comprehensive fringe-benefits package that consists of medical, vision, dental, holidays, paid time off, paid maternity and paternity leave, 401(k) Plan, Employee Stock Ownership Plan (ESOP), continuing education, and professional society memberships. RESPEC is a 100% employee-owned company and employees are eligible for participation in the ESOP after a qualifying period.
Show less"
"Accountant","Turkish Airlines","Accountant
Job Description:

Are you a detail-oriented individual with a passion for numbers? We are seeking a talented Accountant to join our vibrant team. In this role, you'll play a vital part in ensuring that cost and expense documents are accurately recorded. Your meticulous attention to detail will be essential in reflecting revenue and expenses in our accounting records, adhering to applicable legislation, company regulations, circular letters, approvals, and generally accepted accounting principles. You'll also be responsible for communicating activities required by local laws to our certified public accountant and diligently monitoring compliance.

Responsibilities:

Timely monitor and verify revenues from our sales management, ensuring compliance with relevant laws, legislation, and regulations. Your expertise in recording these revenues accurately in our accounting records will be invaluable.
Respond to requests by providing comprehensive office income, cost, financing, and financial statistical information to the Sales Manager or your immediate superior.
Take charge of timely bank deposits for sales proceeds (Office+BSP+Cargo+CASS+GSA) and diligently record them.
Efficiently process payments for approved expenditures, strictly following written approvals. Your keen eye for detail will ensure proper accounting records and the best interests of the company. Additionally, handle disbursements of allowances as necessary.
Maintain the annual cost budget sheet and keep a close watch on costs, making sure they align with the budget limits. Take proactive steps to prevent exceeding budget portions and promptly inform your superior.
Skillfully manage administrative affairs and diligently follow up on related issues.

Desired Skills & Experience:

Bachelor's degree.
Preferably, at least one year of experience in finance, accounting, monthly close, and financial reporting.
Proficient knowledge of generally accepted accounting principles, procedures, and their practical application.
Familiarity and competency with MS Office products.
Excellent command of English.
Valid work permit or citizenship in the USA (We do not provide or assist with work permits.).
Demonstrated sense of responsibility and the ability to make accurate and effective decisions. Highly organized, detail-oriented, and skilled in analyzing various data.
Experience with SAP system preferred.
A collaborative team player who can also work independently when required, thriving in a fast-paced environment.
Proactive problem-solving skills.

We strive to bring the far close by making the world move through our wings. We are working with all our strength to offer our guests a unique experience while connecting 340 destinations around the world. We would like to see you among us in our success story to which each member of our family contributes. Now it is time to grow our family with you to achieve greater goals.
Show less"
"Accountant","Adrenalin Attractions","Benefits:

401(k)
Competitive salary
Opportunity for advancement
Paid time off


Benefits/Perks

Competitive Compensation
Great Work Environment
Career Advancement Opportunities


Job Summary

Adrenalin Attractions is seeking a Bookkeeper/Accountant to join our team! As a Bookkeeper/Accountant, you will work with our management team on data entry, receipt scanning, and Quickbooks management. The ideal candidate is Quickbooks certified and has experience in Excel and other CRM and work management software. Candidates should have excellent communication skills, be flexible about working overtime as needed, and work well within a team environment.

Responsibilities

Daily Data Entry into Quickbooks & work management software (Monday.com)
Work closely with our management team and project management to ensure the accuracy of data entry
Follow all company guidelines for best practices
Track all time spent on projects accurately using company software (Monday.com)
Maintain records of financial transactions by establishing accounts, posting transactions, and ensuring legal requirements and compliance
Develop a system to account for financial transactions by establishing a chart of accounts and defining and complying with existing bookkeeping policies and procedures
Maintain subsidiary accounts by verifying, allocating, and posting transactions
Balance subsidiary accounts by reconciling entries
Maintain the general ledger by transferring subsidiary account summaries
Balance the general ledger by preparing a balance and reconciling entries
Maintain historical records by filing documents
Prepare financial reports including but not limited to 1099’s by collecting, analyzing, and summarizing account information and trends
Comply with federal, state, and local legal requirements by studying requirements, enforcing adherence to requirements, filing reports, and advising management on needed actions
Contribute to team effort by accomplishing related results as needed
Maintain business document
Report to CFO, VP, CEO


Qualifications/Skills

Previous experience with Quickbooks, Excel, Monday.com
Excellent written and verbal communication skills
The ability to work well within a team environment
Strong analytical and problem-solving skills
Quickbooks Certified
Proven Experience as a Bookkeeper
Accounting & GAAP
Strong knowledge of debits, credits, and general ledger entries
Proficiency in writing & thoroughly understanding financial reports
Experience in processing payroll and tax regulations
Excellent organizational skills, attention to detail, and accuracy
Ability to work independently and meet deadlines
Reporting Research Results
Experience with purchasing
Show less"
"Accountant","Vaco","Vaco is hiring for an Accountant for a growing accounting team located in Columbia, SC. This role will be fully on-site.

Overview:
Perform a variety of bookkeeping tasks in the firm's accounting software and Microsoft Excel.
Posting manual and imported journal entries
Reviewing and reconciling accounts
Compiling reports and preparing routine tax filings
The ideal candidate will maintain a high degree of accuracy in preparing and entering financial data while possessing attention to detail and problem-solving skills. To be successful in this role, effective communication, organizational and time management skills, along with the ability to prioritize, multi-task and work independently will be required.

Skills & Education:
4-year BA/BS degree from an accredited college or university
2-5+ years of accounting/bookkeeping experience
Show less"
"Accountant","Lin Chai Rawlinson, CPA, PC","Job Description

Lin Chai Rawlinson CPA PC is looking to add a staff accountant to join our team. As a firm, we serve a large quantity of business clients on a monthly basis across the valley. We are looking to add a self-motivated team member who can handle a heavy workload with a positive attitude.

Our ideal candidate will be a quick learner, a team player and have a positive attitude.

Responsibilities:

Prepares federal, state, or local tax returns for individuals, business establishments, or other organizations.
Examines accounts and records and computes taxes owed according to prescribed rates, laws, and regulations.
Completes forms for tax refunds.
Advises management regarding effects of business activities on taxes, and on strategies for minimizing tax liability.
Ensures that organization complies taxing authority requirements.
Represents organization before taxing associations.
Organizes and maintains tax records and conducts tax studies and special projects.
Provides tax advice.
*The company reserves the right to add or change duties at any time.
Prepare financial statements for a variety of clients.
Able to research discrepancies and identify and solve problems
Process payroll and prepare all payroll related tax forms
Prepare and file sales taxes
Provide backup support as needed to other accounting staff
Additional duties as needed

Qualifications:

2 years of experience preferred, specifically related to payroll and bookkeeping. Experience in a CPA firm is preferred.
QuickBooks proficiency preferred.
Experience with sales tax return preparation is a plus
Strong analytical and problem-solving skills
Must be self-motivated, able to work both independently and with a team
Attention to detail is an absolute must
High proficiency in MS Excel
Ability to work under pressure and meet tight deadlines
Professional image and positive attitude
The ability to speak Mandarin is a plus

Salary: $55,000.00 - $75,000.00 per year

Benefits:

401(k)
401(k) matching
Dental insurance
Health insurance
Paid time off
Vision insurance

Schedule:

8 hour shift
Monday to Friday

Experience:

QuickBooks: 2 years (Preferred)
Bookkeeping: 2 years (Preferred)
Payroll by QB: 2 years (Preferred)

Company Description

Lin Chai Rawlinson CPA PC, is a full service accounting firm that understands no two clients are the same. Because of this understanding we pride ourselves on providing personalized service and attention to detail for each client. Whether it's saving money on taxes or providing excellent accurate work from any of our Accounting services you can be assured you are in good hands with our team of Certified Public Accountant's, Enrolled Agents and Tax Practitioners.

Lin Chai Rawlinson CPA PC, is a full service accounting firm that understands no two clients are the same. Because of this understanding we pride ourselves on providing personalized service and attention to detail for each client. Whether it's saving money on taxes or providing excellent accurate work from any of our Accounting services you can be assured you are in good hands with our team of Certified Public Accountant's, Enrolled Agents and Tax Practitioners.
Show less"
"Accountant","Coalesce.io","Coalesce is seeking a fully remote Staff Accountant to join our growing G+A team.

Responsibilities:

Play lead role in the monthly accounting close process including preparing journal entries, account reconciliations and flux analysis.
Maintain and manage accounts payable/receivables, ensuring timely processing and coding of transactions.
Assist in preparation of accurate monthly financial statements, including profit and loss statements, balance sheets, and cash flow statements.
Assist in the preparation of tax returns and ensure compliance with all federal, state, and local regulations.
Assist in support of the Company’s external audit by preparing PBCs and other documentation.
Ensures compliance with company policies and procedures and generally accepted accounting principles (GAAP).
Performs research, resolves issues, initiates corrective actions and adjustments
Assists management in developing and implementing policies, procedures and process improvements.
Stay updated with industry trends, changes in accounting regulations, and company policies.

Qualification:

Bachelor’s degree in Accounting
Comprehensive and current understanding of U.S. GAAP and ASC 606, particularly as it related to software.
1+ years of experience in a tech startup environment preferred.
Process optimization-focused vision with the ability to apply practical solutions and navigate through ambiguity.
Proficient with ERP systems; NetSuite experience a plus.
Proficient in the use of Microsoft Office Suite with strong Excel skills.
High-level of integrity along with the ability to handle sensitive information and maintain confidentiality.
Team player, comfortable operating within a dynamic, complex organizational structure and able to be flexible and collaborate with a team on different projects and needs.

Since founding Coalesce in 2020, our mission has remained the same: to improve the lives of data professionals by helping them transform data as efficiently as possible. We aim to bring an end to the days of arduous manual coding and inflexible GUIs by providing a best of both worlds solution.

Coalesce is a fully remote and culture-first company. We believe that our culture is what allows us to not only recruit world-class talent, but also retain it. At Coalesce, you can expect to experience radical honesty, trust in the workplace empathy for yourself and others, and support for continuous learning and improvement.

US Benefits: Coalesce offers the following benefits for this position, subject to applicable eligibility requirements: Medical insurance; Dental insurance; Vision insurance; Life, AD&D, and Disability Insurance; Unlimited Paid Time off, Paid Sick Time, Equity, Internet Reimbursement, WFH Office Set-Up Reimbursement, 401(k) retirement plan, and Company Annual Leave between December 26- January 2.

Compensation Range: $75K - $90K

Show less"
